f,Suu,Svv,Sww
0.0,0.0,0.0,0.0
0.0002,4.628439213646085e-05,4.542237031490283e-06,3.3149401904957202e-06
0.0004,9.338015895811474e-05,1.0664739228441558e-05,7.226718869839386e-06
0.0006,0.00024284151475745141,3.172658628394437e-05,1.2066039377576974e-05
0.0008,0.00024084551168998062,2.416933877740423e-05,1.7254366163231644e-05
0.001,0.00026479058294939263,3.708226151319291e-05,1.7904836709229323e-05
0.0012,0.0002162939099180018,2.43465418428416e-05,2.8013457929630207e-05
0.0014,0.00026472991216499377,2.8160925381381025e-05,2.7327540871832847e-05
0.0016,0.00034853530660867174,5.1465672609025235e-05,4.097173843384787e-05
0.0018,0.0003189039141238913,5.209002626092051e-05,3.7709869395320385e-05
0.002,0.0006242537814771389,6.539606290820029e-05,5.192209355591726e-05
0.0022,0.0005352427378248532,9.063820772175495e-05,5.712413503532728e-05
0.0024,0.0004950978365331738,9.304983411984508e-05,3.981143987556567e-05
0.0026,0.0006536412428245624,0.00014804562248378698,7.582007254330787e-05
0.0028,0.0005683533288968511,0.00010862724185383916,6.739291998568473e-05
0.003,0.000659203638718522,0.00010844117505708644,5.697230042497296e-05
0.0032,0.00045363060084540057,0.00017488382988347954,8.8248166847561e-05
0.0034,0.000634683349332741,0.00017796275281797415,7.874575880760165e-05
0.0036,0.000860221789896681,0.00016832007040324713,9.944224847805053e-05
0.0038,0.00046953203324187685,0.00012657001767410158,7.297602018867365e-05
0.004,0.0005883748604636924,0.00012731543380213305,8.749333404219099e-05
0.0042,0.00047350960315546285,0.00012844153432794056,7.359463166786381e-05
0.0044,0.0003219901642962026,0.00016053204405415238,7.136879218293897e-05
0.0046,0.0005567067027228671,0.0002486047411524864,6.806577446992284e-05
0.0048,0.0005502691028834084,0.00019791021698282603,7.024477919748799e-05
0.005,0.000575698640194957,0.00023657058493911894,0.00011800404123141884
0.0052,0.0005030729479084418,0.00021690418809605124,0.00011267285273414027
0.0054,0.0005661125976091379,0.00023986159433836586,8.955083776849112e-05
0.0056,0.0005455628508331715,0.000210376074287375,0.00010837653387255095
0.0058,0.0005463443382096212,0.00020215399085248966,0.00011871828239538561
0.006,0.0004181594258967386,0.00019274945164913314,9.017437494685321e-05
0.0062,0.0006341524713706201,0.00029367323423800247,0.0001356893784768077
0.0064,0.0006927682966804227,0.00022778629041107163,0.0001309086984752334
0.0066,0.0005790086139610219,0.00029939807770227553,0.00013392138298534427
0.0068,0.0005815042858946034,0.00030193226856315347,0.00014954204396322243
0.007,0.0005389587704062391,0.0003096738488958234,0.00011754100219260397
0.0072,0.0006834372400827526,0.0002401953427092479,0.00017726540252631224
0.0074,0.0006529942588808757,0.0002842080811352839,0.00014479907458781507
0.0076,0.000564184162372782,0.0004209244737049838,0.0001380075933378434
0.0078,0.0005945582526529171,0.0002572675127212665,0.00018044878703783564
0.008,0.0006625762493648419,0.0002505967744727918,0.00017916869288013408
0.0082,0.0007737362048986415,0.00048164180205239346,0.00019806196431651368
0.0084,0.0005175605222788471,0.00024081165716078196,0.0001457642175884354
0.0086,0.0007679394559125928,0.0002727873907092178,0.00015268413182324735
0.0088,0.0005186887107367494,0.00036509176627193946,0.00014778112173984324
0.009,0.0006468181647422289,0.000374921250222995,0.00014259310106846772
0.0092,0.0006979671673593202,0.00036919460838876877,0.00017611890513999183
0.0094,0.00048746176586322154,0.00040328450292064573,0.00016355595945702074
0.0096,0.0005565771384212491,0.00029206382025415704,0.00016794943644155962
0.0098,0.0004006836468389708,0.0005477028872673783,0.00016451636321078387
0.01,0.0006426917766030172,0.0005401204097488996,0.0001776852015066176
0.0102,0.00046004920575313965,0.00030099011275630034,0.0002111867142917297
0.0104,0.0006960244551305507,0.0004862368999383762,0.0002316768050002599
0.0106,0.0006149906054138657,0.0005045374456310347,0.0002777666538670161
0.0108,0.0006160416839678192,0.0004925778386482986,0.00025411978970951504
0.011,0.0005179505684259221,0.0003635862768242759,0.00023417576989835575
0.0112,0.0006564758725616935,0.0004737717262668233,0.00024030614833427046
0.0114,0.0006193078250982415,0.00030965188671691163,0.000249412658780037
0.0116,0.0004796492364099724,0.0003580695012054902,0.00018699502729188966
0.0118,0.0005885497752976038,0.00041725312613231523,0.0001953950102143968
0.012,0.0005526982019391664,0.00036992493547092386,0.0002643646381026704
0.0122,0.000615527746916826,0.0003836403044629376,0.0003102794714582195
0.0124,0.0006180565880204845,0.0005171674274121829,0.0003320455558400236
0.0126,0.0005220225936225581,0.0005607445680052111,0.00023152961528866348
0.0128,0.0005243216351263281,0.0005700201443164531,0.00024125301120184496
0.013,0.0006370050425268188,0.0004546030530308082,0.00030730957651218225
0.0132,0.0005390369246262455,0.0004364975918719271,0.0002598045453651491
0.0134,0.0004763933674611108,0.00035763764824832677,0.0002222629605271121
0.0136,0.0004409057871290065,0.0003705704763203385,0.00027296883398913476
0.0138,0.0004966977356908946,0.00036125562014045705,0.0002940877730412439
0.014,0.0005719201785178641,0.00042038612391928247,0.000266950608800419
0.0142,0.0004983191197675572,0.0005315304998666347,0.0002894825132983657
0.0144,0.0006086513443148373,0.00039676014373159175,0.0003010592045223126
0.0146,0.00044985467255384326,0.0004548543982603964,0.00022284228480608231
0.0148,0.0005567352867350214,0.0003727725338178544,0.00031194860657160267
0.015,0.0005330688106083242,0.0005917997140279264,0.0002627947597403278
0.0152,0.0004276337770469243,0.0003908639201145832,0.00019320562201645297
0.0154,0.0006365939681388516,0.0003523210410850648,0.00020991622452392323
