f,Suu,Svv,Sww
0.0236,0.0023876975585096017,0.0018367384450896891,0.000902282138080977
0.0238,0.002379198979312991,0.0018360538957431355,0.0009070214514800675
0.024,0.00237076675202558,0.001835325044955064,0.0009117142656100951
0.0242,0.0023624002740906046,0.0018345532064435867,0.0009163608202355018
0.0244,0.0023540989418246163,0.0018337396556967257,0.0009209613574018341
0.0246,0.0023458621509936904,0.0018328856312113562,0.0009255161213311458
0.0248,0.0023376892973459205,0.0018319923356868628,0.0009300253583194526
0.025,0.002329579777103181,0.0018310609371753716,0.0009344893166362279
0.0252,0.0023215329874149105,0.0018300925701903257,0.0009389082464259143
0.0254,0.0023135483267764895,0.0018290883367750859,0.0009432823996114359
0.0256,0.00230562519541461,0.0018280493075331955,0.0009476120297996888
0.0258,0.0022977629956418616,0.0018269765226218177,0.0009518973921889898
0.026,0.0022899611321826156,0.001825870992709858,0.0009561387434784656
0.0262,0.0022822190124721503,0.0018247336999021408,0.000960336341779356
0.0264,0.0022745360469308066,0.0018235655986310218,0.0009644904465282167
0.0266,0.002266911649214877,0.001822367616516691,0.0009686013184019932
0.0268,0.0022593452364457842,0.0018211406551974238,0.0009726692192349516
0.027,0.002251836229419028,0.001819885591130932,0.000976694411937438
0.0272,0.0022443840527942493,0.0018186032763679613,0.0009806771604164478
0.0274,0.0022369881352677107,0.0018172945392991953,0.0009846177294979821
0.0276,0.002229647909728361,0.0018159601853765092,0.0009885163848511686
0.0278,0.0022223628133986235,0.001814600997809551,0.0009923733929141237
0.028,0.0022151322879609132,0.0018132177382385922,0.0009961890208215365
0.0282,0.0022079557796708914,0.0018118111473845657,0.000999963536333944
0.0284,0.0022008327394583338,0.0018103819456771356,0.0010036972077686866
0.0286,0.002193762623016473,0.0018089308338616538,0.0010073903039325084
0.0288,0.0021867448908806115,0.0018074584935857706,0.0010110430940557882
0.029,0.0021797790084967334,0.001805965587966484,0.0010146558477283762
0.0292,0.002172864446280813,0.0018044527621383412,0.0010182288348370078
0.0294,0.002166000679669477,0.0018029206437835015,0.00102176232550428
0.0296,0.0021591871891625983,0.001801369843644329,0.0010252565900291616
0.0298,0.0021524234603584277,0.001799800956019152,0.0010287118988290156
0.03,0.00214570898398175,0.0017982145592418189,0.001032128522383111
0.0302,0.0021390432559055825,0.001796611216145631,0.0010355067311775994
0.0304,0.002132425777166888,0.0017949914745122237,0.0010388467956519384
0.0306,0.0021258560539767096,0.0017933558675059431,0.0010421489861467304
0.0308,0.0021193335977251503,0.0017917049140942405,0.001045413572852964
0.031,0.002112857924981578,0.0017900391194545853,0.0010486408257626262
0.0312,0.0021064285574903903,0.00178835897536838,0.0010518310146206678
0.0314,0.0021000450221627005,0.0017866649606023395,0.0010549844088783003
0.0316,0.0020937068510642354,0.0017849575412777802,0.0010581012776475973
0.0318,0.0020874135813997367,0.0017832371712282469,0.0010611818896573823
0.032,0.0020811647554941437,0.001781504292345889,0.0010642265132103789
0.0322,0.0020749599207708115,0.0017797593349169712,0.0010672354161416014
0.0324,0.0020687986297269973,0.0017780027179469188,0.0010702088657779652
0.0326,0.0020626804399068435,0.0017762348494752356,0.0010731471288990926
0.0328,0.0020566049138720636,0.0017744561268806687,0.0010760504716992951
0.033,0.0020505716191705193,0.0017726669371769398,0.0010789191597507112
0.0332,0.0020445801283028833,0.0017708676572993813,0.0010817534579675742
0.0334,0.0020386300186875507,0.001769058654382777,0.0010845536305715943
0.0336,0.002032720872623952,0.001767240286030712,0.0010873199410584315
