variable,value
Time,90.47813020892151
GenPwr,4551.891699604743
GenTq,39.340278938452855
RotSpeed,12.066173913043478
RotThrust,647.9641953698475
B1RootMxr,770618.5761998871
B1RootMyr,7875054.771315641
B1TipTDxr,4.199786109542631
BldPitch1,2.798826877470356
